date,open,high,low,close,volume
1-Aug-17,0.4401,0.4551,0.4300,0.4450,39247
2-Aug-17,0.4501,0.4501,0.4300,0.4300,35046
3-Aug-17,0.4300,0.4700,0.4300,0.4600,66691
4-Aug-17,0.4700,0.4700,0.4210,0.4400,125643
5-Aug-17,0.4400,0.4500,0.4104,0.4250,109814
6-Aug-17,0.4208,0.4300,0.3430,0.3640,165907
7-Aug-17,0.3700,0.3999,0.3600,0.3600,64807
8-Aug-17,0.3900,0.4000,0.3650,0.3732,52786
9-Aug-17,0.3918,0.4000,0.3661,0.3800,42991
10-Aug-17,0.3650,0.4603,0.3349,0.3701,139083
11-Aug-17,0.3560,0.4000,0.3321,0.3780,483827
12-Aug-17,0.3800,0.3800,0.3420,0.3700,121560
13-Aug-17,0.3700,0.3800,0.3300,0.3530,232385
14-Aug-17,0.3590,0.3599,0.3100,0.3350,121181
15-Aug-17,0.3500,0.3500,0.2833,0.3100,310932
16-Aug-17,0.3000,0.3100,0.2800,0.2976,126208
17-Aug-17,0.3124,0.3300,0.3000,0.3095,95887
18-Aug-17,0.3100,0.3480,0.3010,0.3340,300727
19-Aug-17,0.3302,0.3598,0.3010,0.3050,223274
20-Aug-17,0.3000,0.3150,0.2900,0.2900,293167
21-Aug-17,0.2900,0.3000,0.2850,0.2900,113372
22-Aug-17,0.2900,0.3000,0.2700,0.2750,181401
23-Aug-17,0.3000,0.3000,0.2800,0.2996,163095
24-Aug-17,0.3000,0.3000,0.2800,0.2800,279774
25-Aug-17,0.2900,0.2900,0.2650,0.2820,179770
26-Aug-17,0.2900,0.3100,0.2720,0.3000,194557
27-Aug-17,0.2900,0.2998,0.2700,0.2880,266437
28-Aug-17,0.2700,0.2810,0.2700,0.2727,116460
29-Aug-17,0.2800,0.2899,0.2556,0.2800,210687
30-Aug-17,0.2772,0.6783,0.2700,0.6000,14602126
31-Aug-17,0.5200,0.5650,0.4301,0.4550,2719871
1-Sep-17,0.4589,0.6900,0.4050,0.5420,4020526
2-Sep-17,0.7200,0.7200,0.5500,0.5800,2626701
3-Sep-17,0.6195,0.6200,0.5200,0.5550,1029185
4-Sep-17,0.5494,0.5494,0.4800,0.4975,641143
5-Sep-17,0.5200,0.7600,0.5040,0.7200,6804891
6-Sep-17,0.7000,0.7020,0.5650,0.6000,3356089
7-Sep-17,0.6000,0.9400,0.6000,0.8640,13399015
8-Sep-17,0.9100,1.1000,0.8400,1.0000,12255643
9-Sep-17,1.0000,1.0100,0.7775,0.8000,3442952
10-Sep-17,0.8383,1.0000,0.7208,0.8451,5848597
11-Sep-17,0.8800,0.9300,0.8000,0.9014,2486185
12-Sep-17,0.9300,0.9300,0.7900,0.8799,3063213
13-Sep-17,0.7300,0.7400,0.5751,0.6300,5973294
14-Sep-17,6.3100,8.5494,6.0500,7.6249,751217
15-Sep-17,8.2000,8.2000,5.8801,6.0800,874810
16-Sep-17,6.0800,6.2899,5.2215,5.8900,252270
17-Sep-17,5.8600,5.8846,5.3000,5.3500,170419
18-Sep-17,5.3100,5.3100,4.3100,4.4700,448563
19-Sep-17,4.5200,4.6990,4.0400,4.0600,268139
20-Sep-17,4.1000,7.4300,4.0600,5.2600,4551063
21-Sep-17,5.4500,6.3700,4.9601,5.1900,1897487
22-Sep-17,5.2600,5.3700,4.7000,5.0500,330625
23-Sep-17,5.0000,5.4192,4.8117,5.1200,251488
24-Sep-17,5.1400,5.9800,4.9901,5.7400,363261
25-Sep-17,6.0000,6.0000,5.3110,5.5800,212798
26-Sep-17,5.6000,5.6750,5.2800,5.3600,84328
27-Sep-17,5.3500,5.7600,5.2600,5.5800,107785
28-Sep-17,5.4700,5.5800,5.1100,5.1200,84316
29-Sep-17,5.1000,5.1050,4.7600,4.8700,94641
30-Sep-17,4.8000,5.0300,4.5000,4.6200,174276
1-Oct-17,4.6200,4.9900,4.5000,4.8100,142232
2-Oct-17,4.8100,4.9890,4.7200,4.7200,75582
3-Oct-17,4.8000,4.9299,4.6600,4.8000,94605
4-Oct-17,4.8000,4.8800,4.6700,4.7200,69828
5-Oct-17,4.6700,4.7800,4.3800,4.3900,61416
6-Oct-17,4.4000,4.5710,4.1280,4.2000,86534
7-Oct-17,4.2000,4.2000,3.9100,4.2000,73667
8-Oct-17,4.1200,4.1200,3.4700,3.8300,136237
9-Oct-17,3.8300,4.4490,3.5410,4.2250,139755
10-Oct-17,4.2500,4.7400,4.2500,4.3600,156909
11-Oct-17,4.4100,4.5735,4.1710,4.2900,62756
12-Oct-17,4.2600,4.2600,3.8000,4.0547,79563
13-Oct-17,3.8207,4.2900,3.5000,3.8950,64352
14-Oct-17,3.9100,4.8000,3.7300,4.0300,224034
