date,open,high,low,close,volume
1-Aug-17,125.0800,125.9100,124.1100,125.6400,9429562
2-Aug-17,142.5100,143.7000,135.2100,142.3400,81381531
3-Aug-17,144.5700,148.2900,137.0100,139.4400,54367382
4-Aug-17,139.1700,142.2000,136.0500,139.0800,32166802
5-Aug-17,141.8800,142.2440,135.9000,136.6000,40879593
6-Aug-17,137.8000,139.2500,135.2600,136.6700,32842301
7-Aug-17,135.6400,135.6700,133.1000,135.0800,30510350
8-Aug-17,136.2800,136.5000,133.5500,134.8700,36431311
9-Aug-17,137.8100,140.4000,137.4000,139.4700,24937608
10-Aug-17,140.0800,140.6300,137.9300,138.3800,20580535
11-Aug-17,138.8200,143.5000,138.0200,143.2900,30911557
12-Aug-17,142.0500,144.6800,140.8800,142.2700,21897597
13-Aug-17,142.1000,143.3400,141.6000,143.0100,11759007
14-Aug-17,144.0300,145.3600,141.2700,142.7300,17638227
15-Aug-17,143.9000,144.3800,141.1000,141.5300,16834086
16-Aug-17,142.6500,144.3700,141.4800,143.9500,14949665
17-Aug-17,143.1600,143.5600,137.5200,140.8100,24003012
18-Aug-17,141.0300,142.3800,139.9200,140.9000,12271061
19-Aug-17,141.7500,142.4900,139.4950,140.9900,6974738
20-Aug-17,141.1600,145.0000,140.3300,144.8700,16724096
21-Aug-17,143.0100,143.6200,141.8300,142.2000,11914236
22-Aug-17,142.6500,143.3785,141.8310,142.4300,8046241
23-Aug-17,143.0000,144.1600,142.2500,143.8100,10169612
24-Aug-17,144.2900,145.8700,143.2600,145.8100,12856565
25-Aug-17,147.3800,149.3000,146.8500,149.0000,14912480
26-Aug-17,149.5200,150.0000,148.0000,149.5200,11626594
27-Aug-17,150.1200,152.2500,149.6900,151.8300,11460869
28-Aug-17,153.5300,153.7000,150.4200,151.2300,15330470
29-Aug-17,151.0800,154.6000,150.4800,153.7500,15274710
30-Aug-17,155.1400,156.4100,152.6400,153.1500,16665327
31-Aug-17,153.9600,154.1200,151.8400,152.1100,16526409
1-Sep-17,151.7900,152.1500,150.3100,151.8900,11452728
2-Sep-17,152.7700,153.2300,151.6000,152.2600,10596871
3-Sep-17,152.3600,152.7500,150.8500,152.4400,8332708
4-Sep-17,152.5300,156.0000,152.3600,155.7900,14313363
5-Sep-17,157.8500,160.3900,151.3300,154.1500,25971950
6-Sep-17,153.9600,158.9600,152.8200,157.5600,14449438
7-Sep-17,158.9000,159.3900,153.5000,154.9500,17660855
8-Sep-17,156.2500,156.6100,153.8000,154.7300,11874149
9-Sep-17,155.4700,155.7500,149.1000,151.9100,19089316
10-Sep-17,152.1000,153.8000,149.6000,153.3200,12360035
11-Sep-17,154.3200,154.3200,152.1600,153.3300,10035631
12-Sep-17,154.8300,158.9900,154.3700,158.8400,15774425
13-Sep-17,158.5600,159.8400,156.8000,157.5000,14915949
14-Sep-17,156.0500,157.7100,155.2000,157.4900,11218269
15-Sep-17,156.2000,156.5000,151.2500,151.7700,18252160
16-Sep-17,150.5100,152.5700,147.5000,151.7000,22327427
17-Sep-17,154.7700,155.0800,153.1000,154.6100,14479997
18-Sep-17,155.7400,158.3200,154.0000,157.7500,18564323
19-Sep-17,160.0000,160.3500,158.5350,159.5000,21119649
20-Sep-17,166.1200,168.0000,163.5100,163.9200,56610614
21-Sep-17,165.3600,169.5000,164.1000,167.5000,31405199
22-Sep-17,168.2900,170.6000,166.9800,169.2500,22254365
23-Sep-17,170.0200,174.7700,169.6400,174.4600,24381625
24-Sep-17,172.9000,176.2300,172.7500,175.8000,21874220
25-Sep-17,177.0000,177.0000,174.3000,175.0000,20331241
26-Sep-17,174.8000,174.9400,171.1100,171.7400,24184674
27-Sep-17,171.1500,171.3400,167.0600,168.3000,24319256
28-Sep-17,165.1500,169.2300,164.3500,167.4100,19466550
29-Sep-17,169.1500,172.3900,169.1500,171.2500,17264095
30-Sep-17,172.5400,172.9000,170.2500,171.7400,16305445
1-Oct-17,171.9900,172.3863,170.6500,171.0400,11166595
2-Oct-17,169.4700,171.9300,168.7378,169.9200,14943593
3-Oct-17,170.1700,171.1100,167.0000,168.1400,19935046
4-Oct-17,169.2600,170.9700,168.0000,170.4800,14879508
5-Oct-17,169.9900,171.2200,168.9200,169.0000,12345308
6-Oct-17,171.5000,174.2000,171.5000,174.0600,18052841
7-Oct-17,174.8900,175.6200,173.3700,175.3100,15399298
8-Oct-17,175.7500,179.1000,175.5600,178.9700,21773323
9-Oct-17,177.5400,179.9300,176.0200,177.1000,22613627
10-Oct-17,177.9000,179.7500,176.7000,176.7000,26567550
11-Oct-17,178.8900,180.2900,177.7500,179.9800,22460783
12-Oct-17,180.6900,180.8700,179.2500,180.0700,14729152
13-Oct-17,180.0200,180.5000,176.1510,177.9500,13531630
14-Oct-17,178.0500,178.8611,175.3000,177.3900,14559044
15-Oct-17,176.2000,178.4200,175.6800,178.1400,12742333
16-Oct-17,176.4800,177.0000,167.5000,169.5900,33965423
17-Oct-17,170.0100,171.9000,166.7900,167.0200,23645021
18-Oct-17,169.8400,171.9500,169.4500,170.9900,18396224
19-Oct-17,170.9100,171.8800,169.5667,170.2400,13917924
20-Oct-17,171.1100,173.5400,170.7400,172.7100,13397545
21-Oct-17,174.5700,175.1300,172.5700,173.6100,12537170
22-Oct-17,176.0600,178.7800,173.6100,178.5600,15053519
23-Oct-17,178.0600,180.0000,177.3000,178.7100,11394699
24-Oct-17,179.0000,179.7300,176.0300,178.8900,11756869
25-Oct-17,177.8500,179.8700,177.6100,179.2000,8741472
26-Oct-17,178.9700,183.1322,178.7500,182.0900,14978828
27-Oct-17,181.6500,184.4600,181.3600,183.1200,13175908
28-Oct-17,183.0000,184.7000,182.6005,184.6900,11918204
29-Oct-17,184.0400,184.3900,180.3478,180.5300,15405398
30-Oct-17,180.9600,181.4000,177.9700,178.4500,18102139
31-Oct-17,180.0000,180.0500,178.5100,179.5600,12758367
1-Nov-17,179.5800,180.1200,175.3000,175.3200,19989208
2-Nov-17,177.0900,180.0000,176.2800,179.6100,21736540
3-Nov-17,177.0010,179.6100,175.4500,177.9300,13423948
4-Nov-17,179.0200,179.5200,177.0800,177.3200,11953220
5-Nov-17,177.8000,178.0098,173.0500,173.1300,17522916
6-Nov-17,174.0000,175.9800,173.2600,173.7000,11885384
7-Nov-17,174.6900,175.4400,169.3000,170.0000,17366027
8-Nov-17,170.6200,171.4500,168.5800,170.3200,13115250
9-Nov-17,173.1900,177.0000,171.1100,176.1500,19712550
10-Nov-17,178.4300,181.9000,177.5900,181.5800,20126143
11-Nov-17,183.5700,185.1200,181.8110,184.8900,20325185
12-Nov-17,187.8800,188.8800,183.5800,186.0800,27955812
13-Nov-17,190.9900,191.2200,183.3100,184.8100,41091113
14-Nov-17,186.5100,186.9300,182.0600,183.2100,19685319
15-Nov-17,184.0700,188.2500,184.0000,187.8400,19856393
16-Nov-17,189.5800,189.8600,187.0000,188.5100,17780967
17-Nov-17,187.9800,188.1500,185.1000,185.9000,13780603
18-Nov-17,184.2100,185.1300,181.0500,185.1300,19648355
19-Nov-17,187.0300,187.1700,185.4000,186.4100,15010229
20-Nov-17,186.7700,187.8800,184.0000,184.5400,17173912
21-Nov-17,184.3000,184.3800,181.1500,181.7900,14462614
22-Nov-17,179.3700,181.8800,176.7356,181.4800,16566977
23-Nov-17,183.3100,186.2700,183.1200,185.4300,18381931
24-Nov-17,185.9200,186.5000,184.6700,185.1300,13418863
25-Nov-17,187.6000,190.0000,186.6110,188.0000,25951283
26-Nov-17,190.3500,191.5600,188.8000,190.9000,19619298
27-Nov-17,191.5400,191.7500,189.3700,189.8400,14406591
28-Nov-17,189.3900,191.7000,188.7000,191.1900,9887763
29-Nov-17,190.4900,191.4503,187.5500,188.0300,14945906
30-Nov-17,188.8300,189.1000,186.5000,186.6900,13271281
1-Dec-17,185.2500,185.4100,173.6200,179.9100,40198737
