Date,Open,High,Low,Close,Volume
1-Aug-17,996.1100,1006.4000,991.5800,996.1900,4421395
2-Aug-17,1001.7700,1003.2100,981.7300,995.8900,4017780
3-Aug-17,999.4700,999.5000,984.5900,986.9200,3203134
4-Aug-17,989.6800,991.6720,982.0000,987.5800,2730308
5-Aug-17,994.3500,996.2800,985.7900,989.8400,2847527
6-Aug-17,982.6000,988.0000,975.2700,982.0100,3434077
7-Aug-17,976.2950,979.8600,954.6800,956.9200,5560388
8-Aug-17,960.0000,970.3900,951.3800,967.9900,3468017
9-Aug-17,978.4100,985.5000,976.1900,983.3000,3008007
10-Aug-17,988.9000,991.7400,982.0000,982.7400,2513139
11-Aug-17,981.6500,986.4605,973.2200,978.1800,3096051
12-Aug-17,977.8400,977.8400,960.3200,960.5700,3396045
13-Aug-17,961.4000,965.4300,954.6500,958.4700,3248677
14-Aug-17,957.5700,961.2000,945.4600,953.2900,3008450
15-Aug-17,955.5200,967.9300,955.4950,966.9000,2718261
16-Aug-17,959.3800,962.0000,954.2000,958.0000,2590245
17-Aug-17,957.4200,959.0000,941.1400,952.4500,5086748
18-Aug-17,956.0000,957.6210,944.1000,945.2600,3324791
19-Aug-17,946.5400,953.0000,942.2500,946.0200,2529087
20-Aug-17,940.0000,956.0000,936.3300,954.0600,2853972
21-Aug-17,958.4400,969.4100,956.9062,967.5900,2860718
22-Aug-17,974.7000,981.0000,972.7600,980.6000,3280945
23-Aug-17,984.2000,984.5000,976.8750,978.2500,2535917
24-Aug-17,975.4000,976.7699,960.3700,965.2700,2875228
25-Aug-17,968.3200,971.8400,960.6000,967.8000,2106605
26-Aug-17,974.0000,980.5900,972.5500,979.4700,2536000
27-Aug-17,979.1000,979.8800,963.4700,965.9000,2605322
28-Aug-17,974.4600,981.9400,974.2200,977.9600,2134582
29-Aug-17,983.2700,984.6718,975.5170,982.5800,2444699
30-Aug-17,983.9700,1000.0000,979.4200,999.6000,3314978
31-Aug-17,996.8000,998.5600,987.7400,992.2100,3788472
1-Sep-17,993.0100,996.2500,984.0300,986.7900,3760183
2-Sep-17,990.4000,992.7922,968.1700,974.1900,3376772
3-Sep-17,977.2500,978.2400,967.4600,969.8600,2614059
4-Sep-17,971.7900,974.8100,962.1626,973.2100,2727355
5-Sep-17,971.3100,971.7000,962.0200,964.6500,2252940
6-Sep-17,961.0100,965.6100,954.4200,955.1000,2641787
7-Sep-17,949.3100,949.4200,932.8900,939.7900,5065542
8-Sep-17,945.4900,948.6300,931.7500,938.6000,3464183
9-Sep-17,948.0000,955.3000,943.3000,950.8700,3111263
10-Sep-17,951.8600,959.7000,950.1010,956.4000,2512567
11-Sep-17,960.1100,964.8300,958.3750,961.3500,2543759
12-Sep-17,964.0000,967.3050,952.1201,959.1900,2415846
13-Sep-17,958.0000,963.6900,950.3700,957.1000,2643484
14-Sep-17,954.2100,967.7900,954.0500,965.4500,2460721
15-Sep-17,970.0000,981.5100,969.6400,980.8500,3119487
16-Sep-17,975.6400,995.7500,975.6400,989.5800,3782067
17-Sep-17,993.2400,998.5000,987.5000,990.9900,2927994
18-Sep-17,996.6700,997.9500,980.0990,987.2000,3062820
19-Sep-17,991.2700,995.5000,986.6950,995.0000,2310872
20-Sep-17,996.8100,1008.4400,992.4000,1000.9300,4056172
21-Sep-17,1007.0000,1007.7700,1001.0300,1002.9400,2431462
22-Sep-17,1008.4400,1009.5700,1001.0400,1006.3400,1991556
23-Sep-17,1005.5900,1011.4700,1004.3800,1009.1300,2307075
24-Sep-17,1009.2700,1022.3100,996.5500,997.0000,2477357
25-Sep-17,990.0000,991.0500,980.2400,986.6100,3040066
26-Sep-17,993.5300,994.6200,982.0000,982.9100,2365122
27-Sep-17,986.7300,986.7750,962.5000,966.3000,3465469
28-Sep-17,969.0000,979.8500,965.0000,975.9000,2666782
29-Sep-17,978.0000,984.4400,966.2400,972.9100,2969295
30-Sep-17,980.3300,982.9000,968.5500,972.4300,3670282
1-Oct-17,1058.1400,1105.5800,1050.5500,1100.9500,16565021
2-Oct-17,1095.0100,1122.7900,1093.5600,1110.8500,6516639
3-Oct-17,1109.0000,1110.5400,1101.1200,1105.2800,3428461
4-Oct-17,1105.4000,1108.9700,1096.7400,1103.6800,3723680
5-Oct-17,1097.8100,1101.9400,1086.8700,1094.2200,3658748
6-Oct-17,1091.1500,1112.6800,1088.5200,1111.6000,3751480
7-Oct-17,1109.1500,1125.4100,1108.7700,1120.6600,3381138
8-Oct-17,1124.7400,1130.6000,1117.5000,1123.1700,2688977
9-Oct-17,1122.8200,1135.5400,1119.1100,1132.8800,2534748
10-Oct-17,1125.9600,1129.6200,1115.7700,1129.1300,3725774
11-Oct-17,1126.1000,1131.7500,1124.0600,1125.3500,2179937
12-Oct-17,1123.0000,1139.9000,1122.3400,1129.1700,2918439
13-Oct-17,1130.1100,1138.0000,1123.8900,1136.8400,3138423
14-Oct-17,1127.0100,1131.7500,1121.6300,1126.6900,3928680
15-Oct-17,1130.1600,1138.1600,1130.0500,1137.2900,2213322
16-Oct-17,1138.2800,1138.8000,1125.8100,1129.8800,2413388
17-Oct-17,1129.7700,1133.4200,1122.5500,1126.3100,2163855
18-Oct-17,1132.8600,1140.0000,1128.2000,1139.4900,2479397
19-Oct-17,1141.0000,1160.2700,1141.0000,1156.1600,3555273
20-Oct-17,1160.7000,1186.8400,1160.7000,1186.0000,3528011
21-Oct-17,1202.6600,1213.4100,1191.1500,1195.8300,6744045
22-Oct-17,1204.8800,1205.3400,1188.5200,1193.6000,4463476
23-Oct-17,1194.8000,1194.8000,1145.1900,1161.2700,9257512
24-Oct-17,1167.1000,1178.5700,1160.0000,1176.7500,4509208
25-Oct-17,1172.0500,1179.6500,1152.0000,1162.3500,4107094
26-Oct-17,996.1100,1006.4000,991.5800,996.1900,4421395
27-Oct-17,1001.7700,1003.2100,981.7300,995.8900,4017780
28-Oct-17,999.4700,999.5000,984.5900,986.9200,3203134
29-Oct-17,989.6800,991.6720,982.0000,987.5800,2730308
30-Oct-17,994.3500,996.2800,985.7900,989.8400,2847527
31-Oct-17,982.6000,988.0000,975.2700,982.0100,3434077
1-Nov-17,976.2950,979.8600,954.6800,956.9200,5560388
2-Nov-17,960.0000,970.3900,951.3800,967.9900,3468017
3-Nov-17,978.4100,985.5000,976.1900,983.3000,3008007
4-Nov-17,988.9000,991.7400,982.0000,982.7400,2513139
5-Nov-17,981.6500,986.4605,973.2200,978.1800,3096051
6-Nov-17,977.8400,977.8400,960.3200,960.5700,3396045
7-Nov-17,961.4000,965.4300,954.6500,958.4700,3248677
8-Nov-17,957.5700,961.2000,945.4600,953.2900,3008450
9-Nov-17,955.5200,967.9300,955.4950,966.9000,2718261
10-Nov-17,959.3800,962.0000,954.2000,958.0000,2590245
11-Nov-17,957.4200,959.0000,941.1400,952.4500,5086748
