date,open,high,low,close,volume
1-Aug-17,24.4200,24.7000,24.0300,24.5600,1117233
2-Aug-17,24.4300,24.6400,24.1400,24.2200,3248573
3-Aug-17,24.2000,24.8000,24.0900,24.7100,1601098
4-Aug-17,24.6600,24.6600,23.9200,24.6300,867631
5-Aug-17,24.6700,24.7000,24.4100,24.6000,1799477
6-Aug-17,24.4500,24.6800,24.1000,24.2000,2366057
7-Aug-17,24.1000,25.2200,24.0800,24.6500,2121485
8-Aug-17,24.7000,24.8400,24.3400,24.6900,1810278
9-Aug-17,24.6900,24.8500,24.4300,24.7200,2035980
10-Aug-17,24.9200,24.9600,24.5300,24.7400,1847928
11-Aug-17,25.1500,25.4000,24.6500,25.2400,2365496
12-Aug-17,25.3600,25.5900,25.2400,25.2500,1376084
13-Aug-17,25.1100,25.4600,24.7300,24.7700,1185665
14-Aug-17,24.6300,24.6800,24.3000,24.4600,1022876
15-Aug-17,24.4800,24.4800,24.0700,24.1700,759460
16-Aug-17,24.2300,24.4000,24.1200,24.1900,904227
17-Aug-17,24.1900,24.2900,24.1000,24.1900,997253
18-Aug-17,24.3100,24.3150,24.0900,24.2000,1755101
19-Aug-17,24.3500,25.3600,24.2500,25.3400,1158762
20-Aug-17,25.2800,26.3000,25.2800,26.1900,1895866
21-Aug-17,26.0500,26.5100,25.6900,26.2700,1554518
22-Aug-17,26.2000,26.2600,25.4400,25.9200,1423274
23-Aug-17,25.9100,26.1700,25.6800,25.8600,905268
24-Aug-17,25.9000,26.7200,25.8600,26.3100,646469
25-Aug-17,26.3100,26.6500,26.3100,26.5900,1062596
26-Aug-17,26.5900,27.4000,26.5900,27.2000,1521982
27-Aug-17,27.1300,27.6300,26.9200,27.4200,790666
28-Aug-17,27.3800,27.4000,26.7700,26.8500,927588
29-Aug-17,27.0100,27.2400,26.8200,27.0000,572325
30-Aug-17,27.0800,27.1800,26.7500,26.8000,824779
31-Aug-17,26.8000,27.1799,26.7700,27.0200,884147
1-Sep-17,26.9100,27.0700,26.5700,26.7000,655009
2-Sep-17,26.5500,26.7300,26.1100,26.1300,1154519
3-Sep-17,26.1800,26.3900,25.9200,25.9800,633434
4-Sep-17,25.9800,26.4600,25.7900,26.1900,563794
5-Sep-17,26.1400,26.2500,25.6768,25.8700,1045360
6-Sep-17,25.7700,25.8100,25.2900,25.5500,1717197
7-Sep-17,25.8600,27.4300,25.7800,26.4400,2532342
8-Sep-17,26.3600,26.5100,25.8100,25.9900,676385
9-Sep-17,26.0000,26.7900,25.8800,26.6600,1690216
10-Sep-17,26.7100,26.8000,25.9900,26.7500,1142141
11-Sep-17,26.6800,26.7200,26.3300,26.6000,994454
12-Sep-17,26.6700,27.3000,26.4900,26.6100,1353616
13-Sep-17,26.6300,26.9200,26.5800,26.7900,1308046
14-Sep-17,26.7000,27.5900,26.6600,27.4400,1889522
15-Sep-17,27.4200,28.2450,27.4000,28.0400,1528856
16-Sep-17,28.1700,28.7400,28.0080,28.6500,1351882
17-Sep-17,28.5300,28.8800,28.1600,28.7100,1534823
18-Sep-17,28.6800,28.7600,27.7700,27.8300,957331
19-Sep-17,27.9300,28.4800,27.4500,27.5200,967081
20-Sep-17,27.5100,27.8600,27.4300,27.7400,479060
21-Sep-17,27.8800,28.2200,27.3500,27.4200,786256
22-Sep-17,27.5500,27.7800,27.2300,27.2300,841393
23-Sep-17,27.2400,27.5150,26.8400,27.0900,689349
24-Sep-17,26.8400,26.9800,26.1100,26.5900,1154584
25-Sep-17,26.6800,27.0400,26.1100,26.2000,1188740
